Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
25/04/2018;24;31.7;26.9;83;0;6;3;300;1;N 
26/04/2018;23;32.6;27.5;81;0;7.5;3;270;2;N 
27/04/2018;23;32.5;27.6;78;0;7.3;3;300;1;N 
28/04/2018;23;31.2;27.2;82;0;8.9;3;180;1;W 
29/04/2018;22;32.6;26.9;77;0;7;3;120;1;N 
30/04/2018;21;32.6;26.5;74;0;10.4;3;170;2;W 
01/05/2018;21;31.8;26.3;76;0;10.3;3;250;1;W 
02/05/2018;22;31.7;26.8;74;0;7.8;2;200;1;SW
03/05/2018;22;31.5;26.3;77;0;10.5;4;270;2;W 
04/05/2018;22;33.2;26.3;75;0;10.6;3;100;1;E 
05/05/2018;21;33.2;26.9;73;0;10.7;4;90;2;N 
06/05/2018;22;32.8;27.5;74;0;10.6;6;30;3;E 
07/05/2018;22;33.9;27.4;77;0;10.4;3;270;2;W 
08/05/2018;23;33.1;27.7;76;0;9.8;5;270;2;N 
09/05/2018;21;33.4;26.6;74;0;9;4;260;2;N 
10/05/2018;22;32.3;27.1;71;0;9.5;5;360;2;W 
11/05/2018;21;33.3;26.6;77;0;9.5;4;180;1;S 
12/05/2018;22;32.8;26.9;74;0;9;3;130;1;S 
13/05/2018;21;33.3;26.7;74;0;8.9;2;250;1;S 
14/05/2018;22;33.4;26.8;79;0;10;4;280;2;W 
15/05/2018;24;31.5;26.8;86;0;10;5;270;2;N 
16/05/2018;24;31.6;26.3;85;4.2;5.2;2;290;1;N 
17/05/2018;24;31.8;26.7;86;0;3.3;4;200;1;W 
18/05/2018;23;30.2;26.4;84;3.4;2.4;2;180;1;W 
19/05/2018;23;32;26.1;82;0;3.4;3;270;1;W 
20/05/2018;23;32.3;26.1;85;0;7.1;3;120;1;NW
21/05/2018;23;30.8;25.7;88;2.2;6.4;3;260;1;W 
22/05/2018;23;32.6;27.1;79;4.4;3.6;6;90;2;W 
23/05/2018;23;32.6;26.5;85;0;10.5;3;260;2;W 
24/05/2018;24;31.2;26.3;87;0;6.7;3;250;1;N 
25/05/2018;22;31.8;26.9;83;10;4.2;2;300;1;N 
26/05/2018;23;29.6;26.4;84;4.8;5.5;3;270;1;W 
27/05/2018;23;31.2;26.6;79;0;3.8;4;280;1;N 
28/05/2018;23;30.5;25.8;84;0;7.1;3;270;2;W 
29/05/2018;22;31.4;25.6;82;0;9.1;4;260;2;W 
30/05/2018;21;30.4;25.4;81;0;7.7;4;270;2;W 
31/05/2018;21;30.2;25.2;81;0;9.8;4;270;2;W 
01/06/2018;19;30;24.2;80;0;9.9;3;270;2;S 
02/06/2018;20;31.8;25.1;78;0;9.9;2;90;1;E 
03/06/2018;21;31.8;25.7;80;0;7.7;2;200;1;W 
04/06/2018;22;32.5;25.7;85;0;8.2;5;270;1;N 
05/06/2018;23;33.3;26.5;82;0;8.2;3;270;1;W 
06/06/2018;22;32.1;26.3;81;0;9.6;2;290;2;S 
07/06/2018;21;31.4;25.1;78;0;9.9;3;250;1;N 
08/06/2018;23;30.8;25.6;84;0;8.7;3;270;1;W 
09/06/2018;22;32;25.9;82;0;5.9;2;270;1;W 
10/06/2018;23;30.6;25.8;83;0;8.1;4;260;2;W 
11/06/2018;23;32.2;27.2;78;0;6.8;2;180;1;S 
12/06/2018;24;;25.4;88;0;6.4;2;180;1;S 
13/06/2018;23;30.5;26.1;82;2.4;1.3;3;230;2;S 
14/06/2018;22;31.8;26;77;0;2.8;3;260;2;W 
15/06/2018;22;32;26;74;0;9.3;3;230;1;SW
16/06/2018;21;32.2;25.6;75;0;8.4;2;330;1;N 
17/06/2018;20;31.8;25.6;77;0;10;2;30;1;N 
18/06/2018;21;32.5;25.8;77;0;9.8;4;50;2;W 
19/06/2018;22;31;25.9;81;0;9.9;3;270;1;S 
20/06/2018;23;32.3;26;82;0;6.5;4;200;1;N 
21/06/2018;23;30.8;25.8;88;18;4.6;2;270;1;N 
22/06/2018;23;31.2;26.4;80;12.8;2.1;3;200;1;S 
